bug_id,desc,severity
100022,PAC: connection to page refused on browser startup when Automatic Proxy configuration enabled,major
100028,javascript (DHTML?) menu does not show up,major
100546,window.opener access to property denied,major
10071,Thin lines appear between table cells,minor
100844,link colors not followed in composer,major
100926,Down arrow key at end of a TEXTAREA inserts newline,minor
10105,crash in xpcom.dll,critical
101150,nsScriptSecurityManager does not pick up user prefs correctly (initialized before profile is picked),major
10128,Form Submission (POST) not passing Select items,major
101361,"MySQL Error when (not) changing multiple bugs
",major
101400,Command + H should Hide Browser Instead of Showing History,minor
101602,Proxy server not responding correctly,major
102113,nsCompressedCharMap crashes during startup on 64bit Solaris.,critical
102157,tabbrowser - bookmarks fail to open new tab,minor
102462,Carbon build should use system Help menu on Mac OS 9,minor
103115,print to file uses build ID as page title,minor
103163,Remove Quirks Mode,major
103238,Does not display this page properly,major
103986,[Crash] pressing back after setting focus to each of the text boxes in order from the above URL,critical
104228,first-letter: renders randomly when paragraph includes a table,minor
104287,[meta] Bugzilla development process improvements,major
104667,control and keypad +  isnt doing the font zoom,minor
10552,"MLK: leak on every image load, [NECKO] related",major
105688,Rendering of unicode text has bugs.,major
105802,History DB doesn't show this page,major
106259,switching between Stored Cookies and Cookie Sites doesn't work,major
106322,M095 & N620 crash [@ nsBlockFrame::ComputeFinalSize],critical
106651,Crash when browsing www.holarse.net,critical
106806,"plug-in "".sl"" extensions not correctly searched on HP-UX 11.00",major
107219,"transformDocument(null, null, null, null) segfaults",critical
107283,Should Substring() behave like this?,major
107522,"Crash when klicking on ""XUL file"" link and then using ""Back""",critical
107578,M095 Trunk Crash with pop-ups [@ PresShell::HandleEventInternal],critical
10758,Crash on shutdown with ShutdownXPCOM,major
107690,Dropdown lists do not place enteries in list box,critical
107733,Large file hangs browser,critical
107806,"""alert me before downloading image"" dialog locks mozilla",critical
108105,Trunk crashing again  [@ nsTextFrame::TextStyle::TextStyle],critical
108156,flash not displayed using object tag,major
108520,Input checkbox does not support checked default,major
108573,Regxpcom access violation when registering native dll,critical
108651,Crash on www.dhtmlnirvana.com,major
